Subject Code,Course Number,Course Title,Class Number,Associated Class Number,Days,Start Time,End Time,Room,Instructor(s),Instructor(s) Data,Ta(s),Ta(s) Data,Type,Session Type,Enrollment Cap
CS,441,DISCRETE STRUCTURES FOR CS,15802,1090,MW,4:30 PM,5:45 PM,SENSQ 5502,Prof. L,Prof. L,,,LEC,AT,50
CS,441,DISCRETE STRUCTURES FOR CS,23778,1090,Th,6:00 PM,6:50 PM,SENSQ 5502,,,,,REC,AT,28
CS,441,DISCRETE STRUCTURES FOR CS,19481,1090,Th,7:00 PM,7:50 PM,SENSQ 5505,,,,,REC,AT,28
CS,441,DISCRETE STRUCTURES FOR CS,27558,1150,TuTh,4:30 PM,5:45 PM,IS 403,Prof. Q,Prof. Q,,,LEC,AT,75
CS,441,DISCRETE STRUCTURES FOR CS,27559,1150,F,2:00 PM,2:50 PM,IS 501,,,,,REC,AT,28
CS,441,DISCRETE STRUCTURES FOR CS,27560,1150,F,3:00 PM,3:50 PM,IS 405,,,,,REC,AT,28
CS,441,DISCRETE STRUCTURES FOR CS,32393,1150,F,4:00 PM,4:50 PM,IS 411,,,,,REC,AT,28
CS,445,ALGORITHMS AND DATA STRUCTURES 1,20940,1240,W,6:00 PM,8:30 PM,TBA ,Prof. J,Prof. J,,,LEC,SE3,150
CS,445,ALGORITHMS AND DATA STRUCTURES 1,11100,1240,Th,4:00 PM,4:50 PM,SENSQ 5505,,,,,REC,SE3,28
CS,445,ALGORITHMS AND DATA STRUCTURES 1,23719,1240,Th,4:00 PM,4:50 PM,SENSQ 5505,,,,,REC,SE3,28
CS,445,ALGORITHMS AND DATA STRUCTURES 1,20045,1240,Th,5:00 PM,5:50 PM,IS 6110,,,,,REC,SE3,28
CS,445,ALGORITHMS AND DATA STRUCTURES 1,23717,1240,Th,6:00 PM,6:50 PM,SENSQ 6110,,,,,REC,SE3,28
CS,445,ALGORITHMS AND DATA STRUCTURES 1,20942,1240,F,11:00 AM,11:50 AM,SENSQ 5502,,,,,REC,SE3,28
CS,445,ALGORITHMS AND DATA STRUCTURES 1,20941,1240,F,12:00 PM,12:50 PM,SENSQ 5313,,,,,REC,SE3,28
CS,447,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,22063,1200,TuTh,1:00 PM,2:15 PM,TBA ,Prof. Q,Prof. Q,,,LEC,AT,75
CS,447,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,22064,1200,Th,1:00 PM,2:10 PM,SENSQ 5129,,,,,REC,AT,28
CS,447,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,22065,1200,F,12:00 PM,12:50 PM,TBA ,,,,,REC,AT,28
CS,447,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,25240,1200,F,3:00 PM,3:50 PM,IS 411,,,,,REC,AT,28
CS,1501,ALGORITHMS AND DATA STRUCTURES 2,11034,1060,MW,11:00 AM,12:00 PM,IS 305 ,Prof. Y,Prof. Y,,,LEC,AT,33
CS,1501,ALGORITHMS AND DATA STRUCTURES 2,23818,1060,F,9:00 AM,9:50 AM,IS 305,,,,,REC,AT,28
CS,1501,ALGORITHMS AND DATA STRUCTURES 2,18992,1060,F,11:00 AM,11:50 AM,IS 405,,,,,REC,AT,28
CS,1510,ALGORITHM DESIGN,32532,1010,TuTh,1:00 PM,2:15 PM,SENSQ 6110,Prof. K,Prof. K,,,LEC,AT,25
CS,1510,ALGORITHM DESIGN,32534,1010,F,1:00 PM,2:15 PM,SENSQ 6110,Prof. K,Prof. K,,,LAB,AT,25
CS,1555,DATABASE MANAGEMENT SYSTEMS,14599,1100,TuTh,11:00 AM,12:15 PM,IS 302,Prof. Z,Prof. Z,,,LEC,AT,48
CS,1555,DATABASE MANAGEMENT SYSTEMS,14603,1100,F,9:00 AM,9:50 AM,SENSQ 5505,,,,,REC,AT,27
CS,1555,DATABASE MANAGEMENT SYSTEMS,14602,1100,F,10:00 AM,10:50 AM,SENSQ 5505,,,,,REC,AT,29
CS,1632,SOFTWARE QUALITY ASSURANCE,21719,1080,MW,9:30 AM,10:45 AM,SENSQ 6110,Prof. W,Prof. W,,,LEC,AT,46
CS,1656,INTRODUCTION TO DATA SCIENCE,27154,1200,TuTh,11:00 AM,12:15 PM,TBA ,Prof. L,Prof. L,,,LEC,AT,115
CS,1656,INTRODUCTION TO DATA SCIENCE,27155,1200,F,2:00 PM,2:50 PM,TBA ,,,,,REC,AT,32
CS,1656,INTRODUCTION TO DATA SCIENCE,27156,1200,F,3:00 PM,3:50 PM,SENSQ 5313,,,,,REC,AT,27
CS,1656,INTRODUCTION TO DATA SCIENCE,2277,1200,F,1:00 PM,1:50 PM,TBA ,,,,,REC,12W,27
CS,1656,INTRODUCTION TO DATA SCIENCE,5064,1200,F,4:00 PM,4:50 PM,TBA ,,,,,REC,12W,32
CS,1666,PRINCIPLES OF COMPUTER GAME DESIGN AND IMPLEMENTATION,21523,1040,MW,9:30 AM,10:45 AM,SENSQ 6110,Prof. Y,Prof. Y,,,LEC,AT,46
CS,2012,ALGORITHM DESIGN,32533,1010,TuTh,1:00 PM,2:15 PM,SENSQ 6110,Prof. M,Prof. M,,,LEC,AT,10
CS,2012,ALGORITHM DESIGN,32535,1010,F,1:00 PM,2:15 PM,SENSQ 6110,Prof. M,Prof. M,,,LAB,AT,10
CS,2055,DATABASE MANAGEMENT SYSTEMS,14600,1100,TuTh,11:00 AM,12:15 PM,IS 301,Prof. Z,Prof. Z,,,LEC,AT,5
CS,2055,DATABASE MANAGEMENT SYSTEMS,15048,1100,F,9:00 AM,9:50 AM,SENSQ 5505,,,,,REC,AT,5
CS,2055,DATABASE MANAGEMENT SYSTEMS,14601,1100,F,10:00 AM,10:50 AM,SENSQ 5505,,,,,REC,AT,5
CS,2056,INTRODUCTION TO DATA SCIENCE,32557,1200,TuTh,10:00 AM,11:15 AM,TBA ,Prof. L,Prof. L,,,LEC,AT,10
CS,2056,INTRODUCTION TO DATA SCIENCE,32558,1200,F,2:00 PM,2:50 PM,SENSQ 5505,,,,,REC,AT,4
CS,2056,INTRODUCTION TO DATA SCIENCE,32711,1200,F,3:00 PM,3:50 PM,SENSQ 5313,,,,,REC,AT,5